address,categories,city,country,key,lat,long,name,phones,postalCode,province,websites
407 Radam Ln,brewery,Austin,US,us/tx/austin/407radamln,,,(512) Brewing Co,5127072337,78745,TX,
1135 N W Galveston Ave,Brewery and Bar,Bend,US,us/or/bend/1135nwgalvestonave,,,"10 Barrel Brewing Company, 10 Barrel Brewing Co","(541) 585-1007, 5415851007",97703,OR,10barrel.com
830 W Bannock St,"brewery, Restaurant, Pub, Brewery, pub, Brewery and Pub Downtown Boise City, Brewery and Pub",Boise,US,us/id/boise/830wbannockst,43.61771105,-116.2028826,"10 Barrel Brewing, 10 Barrel Brewing Co.","(208) 344-5870, 2083445870, 2.08344587E9",83702,ID,10barrel.com
1022 Texan Trl,"Wine Tours & Tastings, Food & Drink, Tours, Brewery Tours, transportation, Tour, shuttle service",Grapevine,US,us/tx/grapevine/1022texantrl,32.938385,-97.06434,10 Gallon Tours,"18174031832, 817 403-1832",76051,TX,http://www.10gallontours.com/
 Po Box 135,"American Restaurants, Bar & Grill Restaurants, Banquet Facilities, Breweries & Brew Pubs, Cocktail Lounges, Restaurants",Villard,US,us/mn/villard/pobox135,,,10 Mile Tavern,3205542939,56385,MN,http://www.10miletavern.com
31111 Via Colinas,Brewery,Westlake Village,US,us/ca/westlakevillage/31111viacolinas/202,,,101 Cider House,8188519057,91362,CA,
1304 Scott St,Brewery,Petaluma,US,us/ca/petaluma/1304scottst/sted,,,101 North Brewing Company,7077788384,94954,CA,101northbeer
1043 Park St,Brewery Downtown Castle Rock,Castle Rock,US,us/co/castlerock/1043parkst/-666041115,,,105 West Brewery,,80109,CO,
1412 13th St,"Coffee Shop, Caf, and Brewery",Hood River,US,us/or/hoodriver/141213thst/849787967,,,10-speed Coffee Bar,5413863165,97031,OR,10speedcoffee.com
11616 E Montgomery Dr,Brewery,Spokane Valley,US,us/wa/spokanevalley/11616emontgomerydr,,,12 String Brewery,5099908622,99206,WA,http://12stringbrewingco.com
3090 Shirley Dr,"Bars & Clubs, Breweries, Nightlife, Food & Drink",Jackson,US,us/mi/jackson/3090shirleydr/289346730,42.28601,-84.43126,127 Brewing,5172581346,49201,MI,https://www.facebook.com/127brewing
41 Lower Newton St,Brewers,Stalbans,US,us/vt/stalbans/41lowernewtonst,44.810713,-73.083558,14th Star Brewing Co Llc,8023931459,5478,VT,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJdtBPmjhoOaHDsU-0LcO-T-Lf7_WgD6LkfUNE1OkVBwPKZe-GOYJEpu1EgoGV7mjCVl97TXDSPYJhN86T7rvHofPldKHnyycKUYzSIsbCxwKjgcx0NTZ7iknMpalxWtsy1uM2iXLbDNBD3AxJmV22bH6qjh8g4fW8xcznYr7MOuTfuC3JEQNQE6kQhip6vCX-uBf4tVhWhIvrt13SdpzCGZigGknx-HCS7h9TMk1LRL1_vA1rRo3VjlsWyB1WS1XLtkTsQx0Fx0ygw_PwH2-fKgYN76ZvkndHMHeZ2_ovwRu5JRK9TDZW6TGdtHRrKzBdAscqv-2irPzW5q43-1vXzlBf6oYGJRYmzvVNkSx8b-xG1g3CKttr9Q&placement=listing_profile&cs_user=unknown&cs_session=a895e033d7e5f31fc734ef981fb0a0d57ce2742b
133 N Main St,"Breweries, Food & Drink",Saint Albans,US,us/vt/saintalbans/133nmainst/ste7,44.81492,-73.08224,14th Star Brewing Company,8025285988,5478,VT,
1585 State Hwy No 73,Brewers,Pennsauken,US,us/nj/pennsauken/1585statehwyno73,39.984676,-75.020563,1585 Pennsauken Llc,8566655178,8110,NJ,
413 S Bedford St,"Winemaking Equipment & Supplies, Bars & Pubs, Brewer Equipment Supplies & Services, Brewery and Bar, Breweries, Wineries",Georgetown,US,us/de/georgetown/413sbedfordst,38.677997,-75.37889,16 Mile Brewing Co,,19947,DE,16milebrewery.com
189 Main St,"Restaurant, Restaurants, Bar, Brewery, and Restaurant, Brewery, Bar",E Aurora,US,us/ny/eaurora/189mainst,42.76759051,-78.62781861,189 Public House,"7196528189, 7166528189",14052,NY,http://www.oneeightynine.com
5417 Oakley Ave,Brewery,Hammond,US,us/in/hammond/5417oakleyave,,,18th Street Brewery,2199398802,46320,IN,18thstreetbrewery.com
2045 N Forbes Blvd,"Breweries, Food & Drink",Tucson,US,us/az/tucson/2045nforbesblvd/105,32.24656,-110.99348,1912 Brewing Co.,15202564851,85745,AZ,
7324 N E 175th St,Brewery and Bar Central Kenmore,Kenmore,US,us/wa/kenmore/7324ne175thst/2006751065,,,192 Brewing Tasting Room,4254242337,98028,WA,192brewing.com
4025 S Mason,Brewery,Fort Collins,US,us/co/fortcollins/4025smason,40.53153378,-105.0799763,1933 Brewing Company,9703774107,80525,CO,http://1933brewing.com
1337 1 Lincoln Ave,Brewery,Holbrook,US,us/ny/holbrook/13371lincolnave,,,1940's Brewing Company,6315334838,11741,NY,
1960 N 2nd St,"breweries & brew pubs, cocktail lounges, bar & grill restaurants, cocktail lounge restaurants, Philadelphia, Venues, Bar, recreation, food and drink",Philadelphia,US,us/pa/philadelphia/1960n2ndst,,,1960 C B Tavern,,19122-2309,PA,
1401 19th St,"Bars & Clubs, Bars & Pubs, drinking, Breweries & Brew Pubs, Restaurants & Bars, Banquet Facilities, recreation, Taverns, Parkersburg, Bars / Taverns, food and drink, Parkersburg Pubs, U.S., Country Clubs,  WV, Bar & Grill Restaurants",Parkersburg,US,us/wv/parkersburg/140119thst,39.27462,-81.541837,19th St Country Club,3044246336,"26101-3415, 26101",WV,
80 Columbia St,"Bars & Pubs, Pubs, Breweries, Beer & Ale Distributors, Beer & Ale Retail",Bangor,US,us/me/bangor/80columbiast,44.800108,-68.772778,2 Feet Brewing Co.,,4401,ME,
10 W 3rd St,"Computer System Designers & Consultants, Brewer Equipment Supplies & Services, Web Site Design & Services, Computer Software Publishers & Developers",Wilmington,US,us/de/wilmington/10w3rdst,39.73976,-75.551963,2 Fish,3024253939,19801,DE,http://www.2fish.com
1252 23RD Saint Suite110,"Spa, Food & Drink, Tours & Activities, Tours, Brewery Tours, Beer Tastings & Tours",Salem,US,us/or/salem/125223rdsaintsuite110,44.923203,-123.014404,2 Sparky's Taphouse,5039319417,97302,OR,
18 W Main St,"Brew Pubs, Bars & Pubs, Pubs, Pub, Breweries, Brewery, Bar",Beacon,US,us/ny/beacon/18wmainst,41.5083391,-73.9809796,2 Way Brewing Company,8452027334,12508,NY,http://www.2waybrewingcompany.com
209 Trade St,"Wine Tours & Tastings, Tourist Information & Attractions, More, Food & Drink, Tours & Activities, Banquet Halls & Reception Facilities, Amusement Places & Arcades, Breweries, Tours, Brewery Tours",Danville,US,us/va/danville/209tradest,36.585827,-79.421326,2 Witches Winery Brewing Company,4345492739,24541,VA,http://www.2witcheswinebrew.com
218 W 7th Ave,"Breweries & Brew Pubs, Bar & Grill Restaurants, Bars & Pubs, Bars & Clubs, Taverns",Tarentum,US,us/pa/tarentum/218w7thave,40.599534,-79.762338,218 Bar,7242247008,15084-1306,PA,
2010 Williams St,Brewery,San Leandro,US,us/ca/sanleandro/2010williamsst,37.7118073,-122.1776581,21st Amendment Brewery,5105952111,94577,CA,http://21st-amendment.com
Yankee Stadium,"Ice Cream Shop, Fast Food Restaurant, Brewery, and Ice Cream Shop, Brewery, Fast Food Restaurant",Bronx,US,us/ny/bronx/yankeestadium/1864100396,,,224 Nathans/carvel/beers of The World,,10451,NY,
3512 Clinton Pkwy,"Restaurant, Food and Beverage, Brewery and Bar",Lawrence,US,us/ks/lawrence/3512clintonpkwy,38.94301121,-95.281204,"23rd Street Brewery, 23rd St. Brewery","7858562337, (785) 856-2337",66047,KS,brew23.com
300 Crystal Cir,"Tours & Charters, Breweries, Wineries, Liquor Stores",Lompoc,US,us/ca/lompoc/300crystalcir,34.662044,-120.454882,246 Wine & Brew Tours,,93436,CA,
2637 W Girard Ave,"Bars & Pubs, Breweries",Philadelphia,US,us/pa/philadelphia/2637wgirardave,39.974243,-75.179882,2637brew,,19130,PA,
8680 Miralani Dr,"Breweries, Wineries",San Diego,US,us/ca/sandiego/8680miralanidr/ste123/-1868607155,32.895989,-117.137664,2kids Brewing Co,,92126,CA,
101 Cedar Creek Rd,Brewers,Newhaven,US,us/mo/newhaven/101cedarcreekrd,38.543523,-91.181287,2nd Shift Brewing Co,5732373421,63068,MO,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJa9jItXEN9sSJ4QKKOJ8dVtSd21O5rexAhYFd4rwJpP2VkE4VZ9q4uYjhfI-3YoiG8soUk4L8vdqSZ7c9B3hCKi-huVwvyYlBqL-KNT8cpfIsr7EAnshq73ANL88Uh6AOyH0S3IFCgkLYszFur_rsDjorYZ8E9WNBYBC1huFeesmcPy6MkQMnr5XwXz42RYMIcXzBb7SnjYtpX8O6tO2BSZHs3N84ZXklNKPjnoP0tZcC-ogUD3HSbsZjE7N1kNYsRSVZkKRmb76SrBQEdkVZ65lyH8OwqVzGog98_Qj8eYmyQ_IBjg9nTqw1pS1vdZTIVq2l_IzenlGf45XAJCxMgc_BrR-Xk-ucaRIC8qeIx6H1eD7cK63Q7w&placement=listing_profile&cs_user=unknown&cs_session=7dd9a1187a44398eba4758e24a0914e9c86f3542
219 N 2nd St,"Breweries & Brew Pubs, Cocktail Lounges, Bar & Grill Restaurants, Cocktail Lounge Restaurants, Bar (Drinking Places), Drinking Places (Alcoholic Beverages), recreation, food and drink",Girardville,US,us/pa/girardville/219n2ndst,40.793206,-76.283674,2nd St Pub,5702766567,17935-1305,PA,
117 Chestnut St,"Pubs, Bars & Pubs, Breweries",Philadelphia,US,us/pa/philadelphia/117chestnutst/545209887,39.948436,-75.143434,2nd Story Brewing Co,,19106,PA,
233 N Water St,"Brewers, Brew Pubs, Bars & Pubs, Restaurants, Wineries",Milwaukee,US,us/wi/milwaukee/233nwaterst/-821165217,43.033001,-87.909401,2nd Street Brewery Milwaukee,4142762337,53202,WI,
120 Concord Rd,Brewery,Aston,US,us/pa/aston/120concordrd,39.85585112,-75.40415014,2sp Brewing Co.,,19014,PA,
1116 16th St W,"Breweries, Restaurant Equipment, Restaurants, Soda Fountain Shops",Billings,US,us/mt/billings/111616thstw/1277396121,45.7816429,-108.5574923,3 Brothers Bistro At The Alpine,4062598877,59102,MT,
222 22nd St S,Brewery,Saint Petersburg,US,us/fl/saintpetersburg/22222ndsts,27.76905736,-82.66262993,3 Daughters Brewery,7274956002,33712,FL,3dbrewing.com
10 Enterprise Dr,"Carbondale, PA, Beverages, Malt Beverages, Carbondale Brewers, (1),, (1), Carbondale,  PA, ",Carbondale,US,us/pa/carbondale/10enterprisedr,,,3 Guys & A Beer'd Llc.,5702802739,18407,PA,http://www.3guysandabeerd.com
426 S Massachusetts St,"Brewery, Liquor Store, and Dive Bar, Distillery Tours, Food & Drink, Tours",Seattle,US,us/wa/seattle/426smassachusettsst,47.588478,-122.3281,3 Howls Distillery,"2067478400, 12067478400",98134,WA,3howls.com
1327 Huron Ave,"Beer & Wine Stores, Brewery",Sheboygan,US,us/wi/sheboygan/1327huronave,43.75947972,-87.7216719,3 Sheeps Brewing Company,"9207836240, 9203953583",53081,WI,3sheepsbrewing.com
6400 Chillum Pl N W,"Brewery Fort Totten - Riggs Park, Brewery",Washington,US,us/dc/washington/6400chillumplnw,38.96758422,-77.01254728,3 Stars Brewing Company,2026700333,20012,DC,http://www.threestarsbrewing.com
8655 Production Ave,Brewery,San Diego,US,us/ca/sandiego/8655productionave/stea,32.8827827,-117.1648515,32 North Brewing Co.,,92121,CA,http://www.32NorthBrew.com
3200 W Allegheny Ave,"cocktail lounge restaurants, Bars & Clubs, drinking, Bars & Pubs, Restaurants, Philadelphia, Venues, breweries & brew pubs, recreation, Taverns, bar & grill restaurants, cocktail lounges, food and drink, Bar, Food & Entertainment",Philadelphia,US,us/pa/philadelphia/3200walleghenyave,40.005188,-75.181902,32nd Street Pub,2152256270,"19132, 19132-1037",PA,
